City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,33.46,93,75,28.77,light snow
1,San Pedro De Uraba,CO,8.2752,-76.3764,82.89,80,100,4.0,overcast clouds
2,Vila,PT,42.0304,-8.1588,50.94,92,88,1.05,overcast clouds
3,Port Elizabeth,ZA,-33.918,25.5701,55.09,77,1,5.39,clear sky
4,Cockburn Town,TC,21.4612,-71.1419,84.16,61,40,6.91,scattered clouds
5,Bethel,US,41.3712,-73.414,58.51,67,90,8.05,overcast clouds
6,Daru,PG,-9.0763,143.2092,79.23,86,83,9.6,broken clouds
7,Camacha,PT,33.0833,-16.3333,67.42,56,40,8.05,scattered clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,22.73,93,19,0.69,few clouds
9,Faya,SA,18.3851,42.4509,59.52,44,7,2.59,clear sky
10,Kudahuvadhoo,MV,2.6708,72.8944,82.89,71,18,16.73,few clouds
11,Pevek,RU,69.7008,170.3133,6.24,94,100,3.22,overcast clouds
12,Walvis Bay,NA,-22.9575,14.5053,60.1,88,0,4.16,clear sky
13,Asosa,ET,10.0667,34.5333,63.39,67,13,5.82,few clouds
14,Yeppoon,AU,-23.1333,150.7333,69.58,81,44,2.95,scattered clouds
15,Rajpipla,IN,21.8667,73.5,71.22,71,0,4.43,clear sky
16,Qesarya,IL,32.5189,34.9046,72.23,68,0,4.76,clear sky
17,Vardo,NO,70.3705,31.1107,30.18,80,40,9.22,light snow
18,Qaanaaq,GL,77.484,-69.3632,-3.05,60,0,11.59,clear sky
19,Sayyan,YE,15.1718,44.3244,57.29,27,5,2.82,clear sky
20,Skjervoy,NO,70.0311,20.9714,35.62,64,100,22.79,overcast clouds
21,San Patricio,US,28.017,-97.5169,91.81,47,5,9.04,clear sky
22,Hobart,AU,-42.8794,147.3294,48.25,73,75,17.27,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,61.34,69,60,10.96,broken clouds
24,Hilo,US,19.7297,-155.09,78.62,87,87,3.0,overcast clouds
25,Kushiro,JP,42.975,144.3747,45.43,83,0,1.16,clear sky
26,Butaritari,KI,3.0707,172.7902,81.32,73,83,4.59,broken clouds
27,Ribeira Grande,PT,38.5167,-28.7,64.8,72,20,6.91,few clouds
28,Necochea,AR,-38.5473,-58.7368,65.3,44,3,10.36,clear sky
29,East London,ZA,-33.0153,27.9116,63.23,62,97,12.64,overcast clouds
30,Lebu,CL,-37.6167,-73.65,57.51,80,12,9.4,few clouds
31,Kalaleh,IR,37.3807,55.4916,58.12,72,22,3.13,few clouds
32,Mataura,NZ,-46.1927,168.8643,53.47,95,100,2.64,overcast clouds
