City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,San Pedro De Uraba,CO,82.89,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
4,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
6,Daru,PG,79.23,broken clouds,-9.0763,143.2092,Daru Lodge
10,Kudahuvadhoo,MV,82.89,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
24,Hilo,US,78.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Butaritari,KI,81.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
33,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
41,Beruwala,LK,78.8,overcast clouds,6.4788,79.9828,The Palms Hotel
44,Polloc,PH,76.01,overcast clouds,7.3553,124.2208,Donney's Inn
53,Villamontes,BO,88.16,clear sky,-21.25,-63.5,Hotel Raldes
54,Caravelas,BR,79.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
55,Lompoc,US,76.08,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
57,Bengkulu,ID,75.47,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
60,Kramat,ID,76.32,overcast clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
61,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
66,Sola,VU,80.33,scattered clouds,-13.8833,167.55,Leumerus Bungalows
68,Inhambane,MZ,75.0,light rain,-23.865,35.3833,Oceano
69,Namatanai,PG,79.32,light rain,-3.6667,152.4333,Seagulls Inn Namatani
71,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
74,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
78,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
80,Lufilufi,WS,80.38,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
83,Faanui,PF,76.44,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Bandarbeyla,SO,78.62,scattered clouds,9.4942,50.8122,JABIR HOTEL
88,Garowe,SO,75.76,scattered clouds,8.4054,48.4845,Curubo Hotel
89,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
91,Altamira,BR,88.65,broken clouds,-3.2033,-52.2064,Requinte Hotel
101,Valparaiso,CL,85.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
103,Manikganj,BD,82.38,clear sky,23.8553,90.0125,Girls Hostel- Govt Debendra College
105,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
108,Kirakira,SB,81.16,broken clouds,-10.4544,161.9205,SanBiz Lodge
111,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Atuona,PF,77.99,clear sky,-9.8,-139.0333,Villa Enata
135,Santa Fe,AR,82.0,clear sky,-31.6333,-60.7,Conquistador Hotel
140,Kandrian,PG,76.03,light rain,-6.2167,149.55,Kandrian Station
144,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
145,Jardim,BR,78.48,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
146,Gualeguaychu,AR,80.04,clear sky,-33.0094,-58.5172,Hotel Los Angeles
148,Saint-Louis,SN,88.77,broken clouds,16.3333,-15.0,
150,Lamar,US,85.66,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
155,Mackay,AU,77.04,broken clouds,-21.15,149.2,International Lodge Motel
157,Gambela,ET,80.74,broken clouds,8.25,34.5833,Solomon Debebe Hotel
159,Dabakala,CI,76.42,light rain,8.3667,-4.4333,Hôtel Campement
166,Metro,ID,75.52,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
169,Mecca,SA,81.07,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
173,Kismayo,SO,78.4,few clouds,-0.3582,42.5454,Agan-Hotel
174,Atar,MR,88.74,broken clouds,20.5169,-13.0499,Oumou Elghoura
181,Charleston,US,81.12,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
182,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
190,Sokoni,TZ,78.93,clear sky,-6.4333,39.55,Ujamaa Beach Resort
194,Avera,US,80.47,broken clouds,33.194,-82.5271,
196,Tsogni,GA,76.03,overcast clouds,-2.7942,10.0988,
197,Monte Patria,CL,87.22,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
201,Loandjili,CG,77.83,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
207,Auki,SB,78.6,few clouds,-8.7676,160.7034,Auki Motel
214,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Waw,SS,81.19,few clouds,7.7029,27.9953,Universal Gab Hotel
217,Finschhafen,PG,78.49,broken clouds,-6.6024,147.8681,Cossam Guest House
218,Kavieng,PG,82.31,broken clouds,-2.5744,150.7967,Nusa Island Retreat
223,Bartica,GY,82.72,moderate rain,6.4,-58.6167,Sloth Island Nature Resort
226,Bon Air,US,77.2,clear sky,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
227,Hambantota,LK,78.87,moderate rain,6.1241,81.1185,Bungalow 63
228,Rengo,CL,80.92,clear sky,-34.4167,-70.8667,Hostal Cartagena
230,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
233,Muisne,EC,77.9,overcast clouds,0.6,-80.0333,Quinta Samay
234,Sikeston,US,82.33,scattered clouds,36.8767,-89.5879,Drury Inn & Suites Sikeston
235,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
238,Sao Filipe,CV,79.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
241,Takoradi,GH,78.24,broken clouds,4.8845,-1.7554,Raybow International Hotel
242,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
243,Padang,ID,75.69,moderate rain,-0.9492,100.3543,Mercure Padang
244,Nisia Floresta,BR,83.21,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
256,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
258,Ende,ID,78.13,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
259,Isla Vista,US,76.35,few clouds,34.4133,-119.861,Best Western Plus South Coast Inn
273,Callaguip,PH,78.91,scattered clouds,18.0714,120.4867,Pangil Beach Resort
278,Makakilo City,US,79.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
281,Paracatu,BR,84.69,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
282,Illapel,CL,79.68,clear sky,-31.6308,-71.1653,Hotel Londres
284,Bandiagara,ML,89.87,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
285,Alyangula,AU,79.52,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
288,Jalu,LY,76.75,clear sky,29.0331,21.5482,صاحبة الفخامة
291,Santa Isabel Do Rio Negro,BR,85.6,overcast clouds,-0.4139,-65.0192,Hotel GSA
302,Tubuala,PA,89.33,overcast clouds,9.5167,-79.0333,Río Nabagana
307,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
312,Dingle,PH,75.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
315,Eydhafushi,MV,82.31,scattered clouds,5.1033,73.0708,Soneva Fushi
316,Bucerias,MX,86.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
317,Miri,MY,76.03,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
320,Ugoofaaru,MV,82.54,broken clouds,5.6667,73.0,Ungoofaaru Inn
328,Buchanan,LR,77.86,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
330,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
333,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
