City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-10-23 16:49:13,22.0752,-159.319,75.52,84,20,14.97
1,Qasigiannguit,GL,2021-10-23 16:49:13,68.8193,-51.1922,19.65,94,100,5.08
2,Kahului,US,2021-10-23 16:49:14,20.8947,-156.47,75.85,80,40,9.22
3,Yerbogachen,RU,2021-10-23 16:49:14,61.2767,108.0108,32.4,79,94,11.39
4,Carnarvon,AU,2021-10-23 16:49:14,-24.8667,113.6333,69.87,68,0,17.27
5,Ushuaia,AR,2021-10-23 16:49:15,-54.8,-68.3,44.22,87,90,24.16
6,Arkhara,RU,2021-10-23 16:49:15,49.4212,130.0842,35.85,83,3,2.93
7,Albany,US,2021-10-23 16:48:31,42.6001,-73.9662,54.63,60,63,1.01
8,Thompson,CA,2021-10-23 16:49:16,55.7435,-97.8558,32.16,86,90,0.0
9,Chuy,UY,2021-10-23 16:49:16,-33.6971,-53.4616,62.8,68,100,1.83
10,Alofi,NU,2021-10-23 16:49:17,-19.0595,-169.9187,66.09,82,28,5.75
11,Chuka,KE,2021-10-23 16:49:18,-0.3332,37.6459,71.06,57,94,5.82
12,Rio Grande,BR,2021-10-23 16:46:17,-32.035,-52.0986,69.91,90,100,12.39
13,Fano,IT,2021-10-23 16:49:19,43.8204,13.0121,62.85,83,41,5.95
14,Olinda,BR,2021-10-23 16:49:19,-8.0089,-34.8553,83.93,70,40,12.66
15,New Norfolk,AU,2021-10-23 16:49:20,-42.7826,147.0587,52.66,82,100,8.99
16,Victoria,HK,2021-10-23 16:49:20,22.2855,114.1577,70.32,77,73,4.0
17,Punta Arenas,CL,2021-10-23 16:49:21,-53.15,-70.9167,39.22,93,90,37.98
18,Bluff,NZ,2021-10-23 16:49:21,-46.6,168.3333,52.7,86,100,3.31
19,Bantry,IE,2021-10-23 16:49:22,51.6833,-9.45,55.35,96,100,21.56
20,Isangel,VU,2021-10-23 16:49:23,-19.55,169.2667,75.16,87,85,10.98
21,Mar Del Plata,AR,2021-10-23 16:48:04,-38.0023,-57.5575,66.22,68,40,5.01
22,Yellowknife,CA,2021-10-23 16:49:22,62.456,-114.3525,42.42,84,75,17.27
23,Longyearbyen,SJ,2021-10-23 16:49:23,78.2186,15.6401,19.24,86,20,4.61
24,Ostrovnoy,RU,2021-10-23 16:49:24,68.0531,39.5131,29.88,85,100,16.4
25,Hobart,AU,2021-10-23 16:44:27,-42.8794,147.3294,53.02,92,90,3.0
26,Kavieng,PG,2021-10-23 16:49:24,-2.5744,150.7967,82.13,77,70,15.86
27,Kodiak,US,2021-10-23 16:49:25,57.79,-152.4072,42.31,81,90,9.22
28,Paralimni,CY,2021-10-23 16:49:25,35.0375,33.9833,72.48,62,0,1.99
29,Malanje,AO,2021-10-23 16:49:26,-9.5402,16.341,73.67,66,98,2.37
30,Suhbaatar,MN,2021-10-23 16:49:27,50.2314,106.2078,34.39,63,23,1.32
31,Faanui,PF,2021-10-23 16:49:28,-16.4833,-151.75,77.14,75,87,3.24
32,Jamestown,US,2021-10-23 16:47:45,42.097,-79.2353,50.02,81,90,8.99
33,Hilo,US,2021-10-23 16:49:30,19.7297,-155.09,72.25,96,90,5.75
34,Nanortalik,GL,2021-10-23 16:49:31,60.1432,-45.2371,36.77,72,25,6.31
35,Castro,BR,2021-10-23 16:49:32,-24.7911,-50.0119,76.15,44,87,9.73
36,Carballo,ES,2021-10-23 16:49:32,43.213,-8.691,62.55,76,100,3.6
37,Atuona,PF,2021-10-23 16:49:33,-9.8,-139.0333,77.99,77,18,18.19
38,Port Lincoln,AU,2021-10-23 16:49:33,-34.7333,135.8667,53.65,78,5,10.58
39,Lufilufi,WS,2021-10-23 16:49:33,-13.8745,-171.5986,76.78,70,100,16.69
40,Saint-Philippe,RE,2021-10-23 16:49:34,-21.3585,55.7679,76.59,81,79,11.99
41,Tura,IN,2021-10-23 16:49:34,25.5198,90.2201,66.67,88,0,3.04
42,Bredasdorp,ZA,2021-10-23 16:48:20,-34.5322,20.0403,58.32,77,78,12.66
43,Mount Isa,AU,2021-10-23 16:49:35,-20.7333,139.5,73.17,64,87,0.0
44,Sitka,US,2021-10-23 16:49:36,57.0531,-135.33,48.09,66,90,14.97
45,Eureka,US,2021-10-23 16:49:37,40.8021,-124.1637,56.01,75,100,8.01
46,Port Elizabeth,ZA,2021-10-23 16:47:06,-33.918,25.5701,63.1,59,0,31.07
47,Tiksi,RU,2021-10-23 16:49:40,71.6872,128.8694,-2.24,100,97,4.27
48,Upernavik,GL,2021-10-23 16:49:00,72.7868,-56.1549,18.73,81,75,4.59
49,San Cristobal,VE,2021-10-23 16:48:59,7.7669,-72.225,77.18,58,82,6.2
50,Tual,ID,2021-10-23 16:49:42,-5.6667,132.75,83.53,76,79,10.25
51,Puerto Ayora,EC,2021-10-23 16:49:42,-0.7393,-90.3518,75.16,79,92,9.95
52,Luderitz,NA,2021-10-23 16:48:15,-26.6481,15.1594,63.05,66,28,19.3
53,Staunton,US,2021-10-23 16:45:18,38.1496,-79.0717,66.6,47,75,1.99
54,Yulara,AU,2021-10-23 16:49:43,-25.2406,130.9889,69.64,32,0,9.22
55,Busselton,AU,2021-10-23 16:49:43,-33.65,115.3333,54.09,83,17,6.91
56,Challans,FR,2021-10-23 16:49:43,46.8436,-1.8749,57.4,59,0,8.28
57,Grindavik,IS,2021-10-23 16:49:44,63.8424,-22.4338,46.87,100,90,14.97
58,Nikolskoye,RU,2021-10-23 16:49:44,59.7035,30.7861,37.29,91,100,9.04
59,Avarua,CK,2021-10-23 16:46:59,-21.2078,-159.775,69.85,64,95,5.75
60,Taitung,TW,2021-10-23 16:49:45,22.7583,121.1444,73.08,81,25,10.27
61,Mataura,NZ,2021-10-23 16:49:45,-46.1927,168.8643,49.78,92,100,0.81
62,Vaini,TO,2021-10-23 16:49:45,-21.2,-175.2,69.96,88,75,9.22
63,Ambanja,MG,2021-10-23 16:49:46,-13.6833,48.45,77.4,85,61,0.31
64,Tasiilaq,GL,2021-10-23 16:49:46,65.6145,-37.6368,33.96,87,100,5.12
65,Pisco,PE,2021-10-23 16:47:14,-13.7,-76.2167,67.01,77,0,9.22
66,Kruisfontein,ZA,2021-10-23 16:49:47,-34.0033,24.7314,60.89,72,3,19.6
67,Havoysund,NO,2021-10-23 16:49:48,70.9963,24.6622,34.68,59,100,17.9
68,Hermanus,ZA,2021-10-23 16:49:49,-34.4187,19.2345,59.9,69,68,9.44
69,Salalah,OM,2021-10-23 16:49:50,17.0151,54.0924,78.89,78,0,3.44
70,Barrow,US,2021-10-23 16:49:51,71.2906,-156.7887,30.22,86,90,12.66
71,Port-Gentil,GA,2021-10-23 16:48:56,-0.7193,8.7815,82.36,74,40,12.66
72,Cidreira,BR,2021-10-23 16:49:52,-30.1811,-50.2056,71.37,75,75,11.16
73,Dikson,RU,2021-10-23 16:49:52,73.5069,80.5464,10.2,87,100,12.86
74,Sambava,MG,2021-10-23 16:49:53,-14.2667,50.1667,76.23,90,36,3.22
75,Verkhoyansk,RU,2021-10-23 16:49:53,67.5447,133.385,-0.36,99,99,2.62
76,Leshukonskoye,RU,2021-10-23 16:49:54,64.8989,45.7622,22.8,94,19,4.76
77,Norman Wells,CA,2021-10-23 16:49:54,65.282,-126.8329,33.84,86,20,5.75
78,Faya,SA,2021-10-23 16:49:55,18.3851,42.4509,70.32,38,7,5.99
79,Bukachacha,RU,2021-10-23 16:49:55,52.9833,116.9167,30.63,83,8,1.45
80,Port Alfred,ZA,2021-10-23 16:48:19,-33.5906,26.891,62.01,66,32,31.85
81,Upington,ZA,2021-10-23 16:49:56,-28.4478,21.2561,62.98,51,75,6.91
82,Riyadh,SA,2021-10-23 16:47:29,24.6877,46.7219,86.14,20,5,9.78
83,Labelle,US,2021-10-23 16:49:25,26.7617,-81.4384,86.04,55,96,9.57
84,Cape Town,ZA,2021-10-23 16:49:46,-33.9258,18.4232,63.01,58,75,4.0
85,Lang Son,VN,2021-10-23 16:50:02,21.8333,106.7333,56.03,89,28,4.21
86,Morant Bay,JM,2021-10-23 16:50:03,17.8815,-76.4093,89.62,71,60,12.01
87,Rikitea,PF,2021-10-23 16:50:04,-23.1203,-134.9692,74.5,82,67,19.71
88,Georgetown,MY,2021-10-23 16:50:04,5.4112,100.3354,80.53,89,40,7.0
89,Seoul,KR,2021-10-23 16:49:06,37.5683,126.9778,42.4,90,0,2.3
90,Torbay,CA,2021-10-23 16:50:05,47.6666,-52.7314,62.49,93,90,19.57
91,Kaitangata,NZ,2021-10-23 16:50:07,-46.2817,169.8464,49.91,91,100,2.57
92,Biak,ID,2021-10-23 16:46:50,-0.9131,122.8766,76.21,78,97,3.69
93,Lebu,CL,2021-10-23 16:49:06,-37.6167,-73.65,55.13,64,82,7.25
94,Narsaq,GL,2021-10-23 16:50:30,60.9167,-46.05,35.67,79,92,3.04
95,Leningradskiy,RU,2021-10-23 16:50:31,69.3833,178.4167,9.03,88,100,8.88
96,Butaritari,KI,2021-10-23 16:50:31,3.0707,172.7902,81.3,71,76,8.41
97,Pevek,RU,2021-10-23 16:50:32,69.7008,170.3133,12.29,94,100,7.11
98,Tilichiki,RU,2021-10-23 16:50:32,60.4667,166.1,5.76,87,95,7.96
99,Beringovskiy,RU,2021-10-23 16:50:33,63.05,179.3167,10.94,77,29,10.69
100,Tabuk,PH,2021-10-23 16:50:33,17.4189,121.4443,73.11,94,100,3.27
101,Belyy Yar,RU,2021-10-23 16:50:33,53.6039,91.3903,39.09,65,0,8.95
102,Zemio,CF,2021-10-23 16:50:34,5.0314,25.1361,75.22,78,46,2.66
103,Haines Junction,CA,2021-10-23 16:50:34,60.7522,-137.5108,22.95,93,100,2.3
104,Ardatov,RU,2021-10-23 16:50:34,55.2421,43.097,44.65,67,51,12.73
105,Lensk,RU,2021-10-23 16:50:35,60.7253,114.9278,37.49,97,100,10.83
106,Galveston,US,2021-10-23 16:50:35,29.3669,-94.9669,85.05,72,40,1.99
107,Bara,NG,2021-10-23 16:50:35,10.3744,10.7288,80.76,68,59,4.14
108,Hasaki,JP,2021-10-23 16:50:36,35.7333,140.8333,41.4,55,0,14.32
109,Vredendal,ZA,2021-10-23 16:50:37,-31.6683,18.5012,61.52,54,7,14.16
110,Sinegorye,RU,2021-10-23 16:50:37,62.0788,150.477,-1.55,100,99,0.51
111,Vila Velha,BR,2021-10-23 16:48:44,-20.3297,-40.2925,78.75,69,40,14.97
112,Dingle,PH,2021-10-23 16:49:20,10.9995,122.6711,74.61,95,100,5.86
113,Bertoua,CM,2021-10-23 16:50:42,4.5833,13.6833,70.2,95,74,2.91
114,Batagay-Alyta,RU,2021-10-23 16:50:42,67.8006,130.4114,-0.72,97,100,1.7
115,Sistranda,NO,2021-10-23 16:50:43,63.7256,8.834,42.91,81,100,11.77
116,Bhalwal,PK,2021-10-23 16:50:43,32.272,72.9043,64.83,77,0,16.35
117,Lompoc,US,2021-10-23 16:47:57,34.6391,-120.4579,64.56,85,1,5.75
118,Hofn,IS,2021-10-23 16:50:44,64.2539,-15.2082,44.8,95,100,6.85
119,Nova Olimpia,BR,2021-10-23 16:50:44,-14.7972,-57.2881,100.89,31,94,10.02
120,San Quintin,MX,2021-10-23 16:50:45,30.4833,-115.95,66.65,72,42,14.79
121,Kirakira,SB,2021-10-23 16:50:45,-10.4544,161.9205,78.44,86,22,6.85
122,Baturaja,ID,2021-10-23 16:50:45,-4.1333,104.1667,74.21,99,100,0.63
123,Cururupu,BR,2021-10-23 16:50:46,-1.8283,-44.8683,89.24,52,100,7.49
124,Husavik,IS,2021-10-23 16:50:46,66.0449,-17.3389,37.31,98,100,2.17
125,Pran Buri,TH,2021-10-23 16:50:46,12.3847,99.9098,76.03,93,92,7.31
126,San Clemente,US,2021-10-23 16:50:47,33.427,-117.612,63.84,94,98,3.0
